id,nombre,cre_id,latitud,longitud
,GASOLINERÍA TURQUESA S.A. DE C.V.,PL/864/EXP/ES/2015,19.67295,-99.07876
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/381/EXP/ES/2015,25.76621,-108.9903
,PETROMAX S.A. DE C.V.,PL/469/EXP/ES/2015,25.76333,-100.4128
,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/869/EXP/ES/2015,32.50251,-116.8668
,GRUPO OCTANO S.A. DE C.V.,PL/535/EXP/ES/2015,20.95066,-105.3483
,MULTISERVICIOS LA PILARICA S.A. DE C.V.,PL/376/EXP/ES/2015,25.70819,-108.7157
,DIAZ GAS S.A. DE C.V.,PL/776/EXP/ES/2015,31.7203,-106.4733
,ESTACIÓN RAEL S. DE R. L. DE C. V.,PL/682/EXP/ES/2015,32.64334,-115.506
,PETROMAX S.A. DE C.V.,PL/597/EXP/ES/2015,25.78744,-100.5805
,GRUPO OCTANO S.A. DE C.V.,PL/400/EXP/ES/2015,19.67717,-101.2223
,PETROMAX S.A. DE C.V.,PL/434/EXP/ES/2015,25.44611,-100.846
,"SERVICIO AG SANTA ROSA, S.A. DE C.V.",PL/673/EXP/ES/2015,27.88953,-101.4273
,ARY SÚPER SERVICIOS II S.A. DE C.V.,PL/886/EXP/ES/2015,25.54451,-103.5191
,GAELI DIESEL S.A. DE C.V.,PL/872/EXP/ES/2015,18.65904,-91.83187
,PETROMAX S.A. DE C.V.,PL/537/EXP/ES/2015,19.47922,-99.10912
,SERVICIO CÍBOLA S.A. DE C.V.,PL/670/EXP/ES/2015,32.53784,-117.0165
,COMBUSTIBLES Y REPARACIONES DE CHIAPAS S.A. DE C.V.,PL/844/EXP/ES/2015,16.76767,-93.1921
,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/657/EXP/ES/2015,32.57238,-116.6227
,PETROMAX S.A. DE C.V.,PL/578/EXP/ES/2015,25.75637,-100.2961
,GASOLINERÍA MAGNOLIAS S.A. DE C.V.,PL/631/EXP/ES/2015,19.37437,-99.09545
,OPERADORA DE COMBUSTIBLE S.A. DE C.V.,PL/782/EXP/ES/2015,24.1315,-110.2967
,PETROMAX S.A. DE C.V.,PL/552/EXP/ES/2015,26.00909,-98.27705
,PETROMAX S.A. DE C.V.,PL/605/EXP/ES/2015,32.51204,-116.9097
,MULTISERVICIOS LA PILARICA S.A. DE C.V.,PL/361/EXP/ES/2015,25.8021,-108.9416
,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/840/EXP/ES/2015,20.76174,-105.3485
,PETROMAX S.A. DE C.V.,PL/521/EXP/ES/2015,25.71221,-100.2606
,PETROMAX S.A. DE C.V.,PL/543/EXP/ES/2015,25.5994,-103.4968
,PETROMAX S.A. DE C.V.,PL/529/EXP/ES/2015,25.53979,-103.3584
,PETROMAX S.A. DE C.V.,PL/515/EXP/ES/2015,25.73066,-100.1625
,SERVICIO 8 DE ENERO S.A. DE C.V.,PL/763/EXP/ES/2015,26.99841,-101.4921
,GASOLINERA EL 27 S.A. DE C.V.,PL/703/EXP/ES/2015,23.73274,-99.16292
,PETROMAX S.A. DE C.V.,PL/486/EXP/ES/2015,25.69145,-100.1952
,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/863/EXP/ES/2015,32.66468,-115.4868
,PETROMAX S.A. DE C.V.,PL/602/EXP/ES/2015,25.67348,-100.3921
,ESTACIÓN DE SERVICIO SAUVAGE S.A. DE C.V.,PL/826/EXP/ES/2015,19.61582,-99.02579
,GRUPO OCTANO S.A. DE C.V.,PL/411/EXP/ES/2015,19.82875,-101.0389
,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",PL/642/EXP/ES/2015,32.43441,-116.9525
,PETROMAX S.A. DE C.V.,PL/541/EXP/ES/2015,25.71714,-100.2357
,GASOPRIM S.A. DE C.V.,PL/758/EXP/ES/2015,19.2684,-103.7026
,GRUPO OCTANO S.A. DE C.V.,PL/420/EXP/ES/2015,21.52014,-104.9266
,MULTISERVICIOS LA PILARICA S.A. DE C.V.,PL/369/EXP/ES/2015,25.76829,-108.9937
,GASOLINERIA LOMALINDA 0194 S.A. DE C.V.,PL/843/EXP/ES/2015,19.42066,-99.21804
,GRUPO OCTANO S.A. DE C.V.,PL/509/EXP/ES/2015,20.76066,-105.3746
,PETROMAX S.A. DE C.V.,PL/488/EXP/ES/2015,25.47087,-100.9607
,ENERGÉTICOS CERRO DE ORTEGA S.A. DE C.V.,PL/753/EXP/ES/2015,18.76095,-103.729
,DESARROLLO INTEGRAL OCOZOCOAUTLA S.A. DE C.V.,PL/743/EXP/ES/2015,15.70444,-91.99803
,PETROMAX S.A. DE C.V.,PL/565/EXP/ES/2015,25.54146,-103.4483
,PETROLÍFEROS LA TERRITORIAL S. DE R. L. DE C. V.,PL/718/EXP/ES/2015,32.56567,-116.585
,PETROMAX S.A. DE C.V.,PL/526/EXP/ES/2015,25.76571,-100.2573
,PETROMAX S.A. DE C.V.,PL/512/EXP/ES/2015,20.54878,-103.4711
,PETROMAX S.A. DE C.V.,PL/539/EXP/ES/2015,26.07043,-98.33169
,SERVICIO EL TRIÁNGULO DEL REFUGIO S. DE R. L. DE C. V.,PL/644/EXP/ES/2015,32.40604,-116.9668
,GRUPO OCTANO S.A. DE C.V.,PL/616/EXP/ES/2015,19.70107,-101.1545
,GRUPO GOCALVI S.A. DE C.V.,PL/862/EXP/ES/2015,31.64773,-106.4634
,SERVICIO CÍBOLA S.A. DE C.V.,PL/637/EXP/ES/2015,32.50862,-116.9861
,PETROMAX S.A. DE C.V.,PL/449/EXP/ES/2015,31.79353,-116.5928
,SERVICIO EFIGAS S. DE R. L. DE C. V.,PL/732/EXP/ES/2015,32.49725,-117.0203
,OPERADORA STA. ELENA S.A. DE C.V.,PL/694/EXP/ES/2015,19.2257,-99.2113
